Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2017 
(10/1/16 - 9/30/17)",,,,,"CC Age Split 
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote,FY,Type
133,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Y,,,,,,,3,,,2017,Commercial
134,A841,Central European tick-borne encephalitis,Y,,,,,,,3,,,2017,Commercial
135,A848,Other tick-borne viral encephalitis,Y,,,,,,,3,,,2017,Commercial
136,A849,"Tick-borne viral encephalitis, unspecified",Y,,,,,,,3,,,2017,Commercial
137,A850,Enteroviral encephalitis,Y,,,,,,,3,,,2017,Commercial
138,A851,Adenoviral encephalitis,Y,,,,,,,3,,,2017,Commercial
139,A852,"Arthropod-borne viral encephalitis, unspecified",Y,,,,,,,3,,,2017,Commercial
140,A858,Other specified viral encephalitis,Y,,,,,,,3,,,2017,Commercial
141,A86,Unspecified viral encephalitis,Y,,,,,,,3,,,2017,Commercial
142,A870,Enteroviral meningitis,Y,,,,,,,4,,,2017,Commercial
143,A871,Adenoviral meningitis,Y,,,,,,,4,,,2017,Commercial
144,A872,Lymphocytic choriomeningitis,Y,,,,,,,4,,,2017,Commercial
145,A878,Other viral meningitis,Y,,,,,,,4,,,2017,Commercial
146,A879,"Viral meningitis, unspecified",Y,,,,,,,4,,,2017,Commercial
147,A880,Enteroviral exanthematous fever [Boston exanthem],Y,,,,,,,4,,,2017,Commercial
148,A888,Other specified viral infections of central nervous system,Y,,,,,,,3,,,2017,Commercial
149,A89,Unspecified viral infection of central nervous system,Y,,,,,,,3,,,2017,Commercial
150,A922,Venezuelan equine fever,Y,,,,,,,3,,,2017,Commercial
151,A9230,"West Nile virus infection, unspecified",Y,,,,,,,3,,,2017,Commercial
152,A9231,West Nile virus infection with encephalitis,Y,,,,,,,3,,,2017,Commercial
153,A9232,West Nile virus infection with other neurologic manifestation,Y,,,,,,,3,,,2017,Commercial
154,A9239,West Nile virus infection with other complications,Y,,,,,,,3,,,2017,Commercial
155,B003,Herpesviral meningitis,Y,,,,,,,4,,,2017,Commercial
156,B004,Herpesviral encephalitis,Y,,,,,,,3,,,2017,Commercial
157,B007,Disseminated herpesviral disease,Y,,,,,,,2,,,2017,Commercial
158,B0082,Herpes simplex myelitis,Y,,,,,,,110,,,2017,Commercial
159,B010,Varicella meningitis,Y,,,,,,,4,,,2017,Commercial
160,B0111,Varicella encephalitis and encephalomyelitis,Y,,,,,,,3,,,2017,Commercial
161,B0112,Varicella myelitis,Y,,,,,,,110,,,2017,Commercial
162,B020,Zoster encephalitis,Y,,,,,,,3,,,2017,Commercial
163,B021,Zoster meningitis,Y,,,,,,,4,,,2017,Commercial
164,B0224,Postherpetic myelitis,Y,,,,,,,110,,,2017,Commercial
165,B050,Measles complicated by encephalitis,Y,,,,,,,3,,,2017,Commercial
166,B051,Measles complicated by meningitis,Y,,,,,,,4,,,2017,Commercial
167,B0601,Rubella encephalitis,Y,,,,,,,3,,,2017,Commercial
168,B0602,Rubella meningitis,Y,,,,,,,4,,,2017,Commercial
169,B0682,Rubella arthritis,Y,,,,,,,55,,,2017,Commercial
170,B1001,Human herpesvirus 6 encephalitis,Y,,,,,,,3,,,2017,Commercial
171,B1009,Other human herpesvirus encephalitis,Y,,,,,,,3,,,2017,Commercial
172,B150,Hepatitis A with hepatic coma,Y,,,,,,,38,,,2017,Commercial
173,B160,Acute hepatitis B with delta-agent with hepatic coma,Y,,,,,,,38,,,2017,Commercial
174,B162,Acute hepatitis B without delta-agent with hepatic coma,Y,,,,,,,38,,,2017,Commercial
175,B1711,Acute hepatitis C with hepatic coma,Y,,,,,,,38,,,2017,Commercial
176,B180,Chronic viral hepatitis B with delta-agent,Y,,,,,,,37_2,,,2017,Commercial
177,B181,Chronic viral hepatitis B without delta-agent,Y,,,,,,,37_2,,,2017,Commercial
178,B182,Chronic viral hepatitis C,Y,,,,,,,37_1,,,2017,Commercial
179,B188,Other chronic viral hepatitis,Y,,,,,,,37_2,,,2017,Commercial
180,B189,"Chronic viral hepatitis, unspecified",Y,,,,,,,37_2,,,2017,Commercial
181,B190,Unspecified viral hepatitis with hepatic coma,Y,,,,,,,38,,,2017,Commercial
182,B1911,Unspecified viral hepatitis B with hepatic coma,Y,,,,,,,38,,,2017,Commercial
183,B1921,Unspecified viral hepatitis C with hepatic coma,Y,,,,,,,38,,,2017,Commercial
184,B20,Human immunodeficiency virus [HIV] disease,Y,,,,,,,1,,,2017,Commercial
185,B250,Cytomegaloviral pneumonitis,Y,,,,,,,6,,,2017,Commercial
186,B251,Cytomegaloviral hepatitis,Y,,,,,,,6,,,2017,Commercial
187,B252,Cytomegaloviral pancreatitis,Y,,,,,,,6,47,,2017,Commercial
188,B258,Other cytomegaloviral diseases,Y,,,,,,,6,,,2017,Commercial
189,B259,"Cytomegaloviral disease, unspecified",Y,,,,,,,6,,,2017,Commercial
190,B261,Mumps meningitis,Y,,,,,,,4,,,2017,Commercial
191,B262,Mumps encephalitis,Y,,,,,,,3,,,2017,Commercial
192,B263,Mumps pancreatitis,Y,,,,,,,47,,,2017,Commercial
193,B2682,Mumps myocarditis,Y,,,,,,,135,,,2017,Commercial
194,B2685,Mumps arthritis,Y,,,,,,,55,,,2017,Commercial
195,B2702,Gammaherpesviral mononucleosis with meningitis,Y,,,,,,,4,,,2017,Commercial
196,B2712,Cytomegaloviral mononucleosis with meningitis,Y,,,,,,,4,,,2017,Commercial
197,B2782,Other infectious mononucleosis with meningitis,Y,,,,,,,4,,,2017,Commercial
198,B2792,"Infectious mononucleosis, unspecified with meningitis",Y,,,,,,,4,,,2017,Commercial
199,B3320,"Viral carditis, unspecified",Y,,,,,,,135,,,2017,Commercial
200,B3321,Viral endocarditis,Y,,,,,,,135,,,2017,Commercial
201,B3322,Viral myocarditis,Y,,,,,,,135,,,2017,Commercial
202,B3323,Viral pericarditis,Y,,,,,,,135,,,2017,Commercial
203,B3324,Viral cardiomyopathy,Y,,,,,,,130,,,2017,Commercial
204,B371,Pulmonary candidiasis,Y,,,,,,,6,,,2017,Commercial
205,B375,Candidal meningitis,Y,,,,,,,3,,,2017,Commercial
206,B376,Candidal endocarditis,Y,,,,,,,135,,,2017,Commercial
207,B377,Candidal sepsis,Y,,,,,,,2,6,,2017,Commercial
208,B3781,Candidal esophagitis,Y,,,,,,,6,,,2017,Commercial
209,B380,Acute pulmonary coccidioidomycosis,Y,,,,,,,163,,,2017,Commercial
210,B381,Chronic pulmonary coccidioidomycosis,Y,,,,,,,163,,,2017,Commercial
211,B382,"Pulmonary coccidioidomycosis, unspecified",Y,,,,,,,163,,,2017,Commercial
212,B384,Coccidioidomycosis meningitis,Y,,,,,,,3,,,2017,Commercial
213,B390,Acute pulmonary histoplasmosis capsulati,Y,,,,,,,163,,,2017,Commercial
214,B391,Chronic pulmonary histoplasmosis capsulati,Y,,,,,,,163,,,2017,Commercial
215,B392,"Pulmonary histoplasmosis capsulati, unspecified",Y,,,,,,,163,,,2017,Commercial
216,B400,Acute pulmonary blastomycosis,Y,,,,,,,163,,,2017,Commercial
217,B401,Chronic pulmonary blastomycosis,Y,,,,,,,163,,,2017,Commercial
218,B402,"Pulmonary blastomycosis, unspecified",Y,,,,,,,163,,,2017,Commercial
219,B4081,Blastomycotic meningoencephalitis,Y,,,,,,,3,,,2017,Commercial
220,B410,Pulmonary paracoccidioidomycosis,Y,,,,,,,163,,,2017,Commercial
221,B4281,Cerebral sporotrichosis,Y,,,,,,,3,,,2017,Commercial
222,B4282,Sporotrichosis arthritis,Y,,,,,,,55,,,2017,Commercial
223,B431,Pheomycotic brain abscess,Y,,,,,,,3,,,2017,Commercial
224,B440,Invasive pulmonary aspergillosis,Y,,,,,,,6,,,2017,Commercial
225,B441,Other pulmonary aspergillosis,Y,,,,,,,6,,,2017,Commercial
226,B442,Tonsillar aspergillosis,Y,,,,,,,6,,,2017,Commercial
227,B447,Disseminated aspergillosis,Y,,,,,,,6,,,2017,Commercial
228,B4481,Allergic bronchopulmonary aspergillosis,Y,,,,,,,162,,,2017,Commercial
229,B4489,Other forms of aspergillosis,Y,,,,,,,6,,,2017,Commercial
230,B449,"Aspergillosis, unspecified",Y,,,,,,,6,,,2017,Commercial
231,B450,Pulmonary cryptococcosis,Y,,,,,,,6,,,2017,Commercial
232,B451,Cerebral cryptococcosis,Y,,,,,,,6,,,2017,Commercial
233,B452,Cutaneous cryptococcosis,Y,,,,,,,6,,,2017,Commercial
234,B453,Osseous cryptococcosis,Y,,,,,,,6,,,2017,Commercial
235,B457,Disseminated cryptococcosis,Y,,,,,,,6,,,2017,Commercial
236,B458,Other forms of cryptococcosis,Y,,,,,,,6,,,2017,Commercial
237,B459,"Cryptococcosis, unspecified",Y,,,,,,,6,,,2017,Commercial
238,B460,Pulmonary mucormycosis,Y,,,,,,,6,,,2017,Commercial
239,B461,Rhinocerebral mucormycosis,Y,,,,,,,6,,,2017,Commercial
240,B462,Gastrointestinal mucormycosis,Y,,,,,,,6,,,2017,Commercial
241,B463,Cutaneous mucormycosis,Y,,,,,,,6,,,2017,Commercial
242,B464,Disseminated mucormycosis,Y,,,,,,,6,,,2017,Commercial
243,B465,"Mucormycosis, unspecified",Y,,,,,,,6,,,2017,Commercial
244,B468,Other zygomycoses,Y,,,,,,,6,,,2017,Commercial
245,B469,"Zygomycosis, unspecified",Y,,,,,,,6,,,2017,Commercial
246,B484,Penicillosis,Y,,,,,,,6,,,2017,Commercial
247,B488,Other specified mycoses,Y,,,,,,,6,,,2017,Commercial
248,B5741,Meningitis in Chagas' disease,Y,,,,,,,3,,,2017,Commercial
249,B5742,Meningoencephalitis in Chagas' disease,Y,,,,,,,3,,,2017,Commercial
250,B582,Toxoplasma meningoencephalitis,Y,,,,,,,6,,,2017,Commercial
251,B583,Pulmonary toxoplasmosis,Y,,,,,,,6,,,2017,Commercial
252,B5881,Toxoplasma myocarditis,Y,,,,,,,135,,,2017,Commercial
253,B59,Pneumocystosis,Y,,,,,,,6,,,2017,Commercial
254,B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),Y,,,,,,,3,,,2017,Commercial
255,B664,Paragonimiasis,Y,,,,,,,163,,,2017,Commercial
256,B671,Echinococcus granulosus infection of lung,Y,,,,,,,163,,,2017,Commercial
257,B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",Y,,,,,,,1,,,2017,Commercial
258,C01,Malignant neoplasm of base of tongue,Y,,,,,,,11,,,2017,Commercial
259,C020,Malignant neoplasm of dorsal surface of tongue,Y,,,,,,,11,,,2017,Commercial
260,C021,Malignant neoplasm of border of tongue,Y,,,,,,,11,,,2017,Commercial
261,C022,Malignant neoplasm of ventral surface of tongue,Y,,,,,,,11,,,2017,Commercial
262,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Y,,,,,,,11,,,2017,Commercial
263,C024,Malignant neoplasm of lingual tonsil,Y,,,,,,,11,,,2017,Commercial
264,C028,Malignant neoplasm of overlapping sites of tongue,Y,,,,,,,11,,,2017,Commercial
265,C029,"Malignant neoplasm of tongue, unspecified",Y,,,,,,,11,,,2017,Commercial
266,C030,Malignant neoplasm of upper gum,Y,,,,,,,11,,,2017,Commercial
267,C031,Malignant neoplasm of lower gum,Y,,,,,,,11,,,2017,Commercial
268,C039,"Malignant neoplasm of gum, unspecified",Y,,,,,,,11,,,2017,Commercial
269,C040,Malignant neoplasm of anterior floor of mouth,Y,,,,,,,11,,,2017,Commercial
270,C041,Malignant neoplasm of lateral floor of mouth,Y,,,,,,,11,,,2017,Commercial
271,C048,Malignant neoplasm of overlapping sites of floor of mouth,Y,,,,,,,11,,,2017,Commercial
272,C049,"Malignant neoplasm of floor of mouth, unspecified",Y,,,,,,,11,,,2017,Commercial
273,C050,Malignant neoplasm of hard palate,Y,,,,,,,11,,,2017,Commercial
274,C051,Malignant neoplasm of soft palate,Y,,,,,,,11,,,2017,Commercial
275,C052,Malignant neoplasm of uvula,Y,,,,,,,11,,,2017,Commercial
276,C058,Malignant neoplasm of overlapping sites of palate,Y,,,,,,,11,,,2017,Commercial
277,C059,"Malignant neoplasm of palate, unspecified",Y,,,,,,,11,,,2017,Commercial
278,C060,Malignant neoplasm of cheek mucosa,Y,,,,,,,11,,,2017,Commercial
279,C061,Malignant neoplasm of vestibule of mouth,Y,,,,,,,11,,,2017,Commercial
280,C062,Malignant neoplasm of retromolar area,Y,,,,,,,11,,,2017,Commercial
281,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Y,,,,,,,11,,,2017,Commercial
282,C0689,Malignant neoplasm of overlapping sites of other parts of mouth,Y,,,,,,,11,,,2017,Commercial
283,C069,"Malignant neoplasm of mouth, unspecified",Y,,,,,,,11,,,2017,Commercial
284,C07,Malignant neoplasm of parotid gland,Y,,,,,,,11,,,2017,Commercial
285,C080,Malignant neoplasm of submandibular gland,Y,,,,,,,11,,,2017,Commercial
286,C081,Malignant neoplasm of sublingual gland,Y,,,,,,,11,,,2017,Commercial
287,C089,"Malignant neoplasm of major salivary gland, unspecified",Y,,,,,,,11,,,2017,Commercial
288,C090,Malignant neoplasm of tonsillar fossa,Y,,,,,,,11,,,2017,Commercial
289,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Y,,,,,,,11,,,2017,Commercial
290,C098,Malignant neoplasm of overlapping sites of tonsil,Y,,,,,,,11,,,2017,Commercial
291,C099,"Malignant neoplasm of tonsil, unspecified",Y,,,,,,,11,,,2017,Commercial
292,C100,Malignant neoplasm of vallecula,Y,,,,,,,11,,,2017,Commercial
293,C101,Malignant neoplasm of anterior surface of epiglottis,Y,,,,,,,11,,,2017,Commercial
294,C102,Malignant neoplasm of lateral wall of oropharynx,Y,,,,,,,11,,,2017,Commercial
295,C103,Malignant neoplasm of posterior wall of oropharynx,Y,,,,,,,11,,,2017,Commercial
296,C104,Malignant neoplasm of branchial cleft,Y,,,,,,,11,,,2017,Commercial
297,C108,Malignant neoplasm of overlapping sites of oropharynx,Y,,,,,,,11,,,2017,Commercial
298,C109,"Malignant neoplasm of oropharynx, unspecified",Y,,,,,,,11,,,2017,Commercial
299,C110,Malignant neoplasm of superior wall of nasopharynx,Y,,,,,,,11,,,2017,Commercial
300,C111,Malignant neoplasm of posterior wall of nasopharynx,Y,,,,,,,11,,,2017,Commercial
301,C112,Malignant neoplasm of lateral wall of nasopharynx,Y,,,,,,,11,,,2017,Commercial
302,C113,Malignant neoplasm of anterior wall of nasopharynx,Y,,,,,,,11,,,2017,Commercial
303,C118,Malignant neoplasm of overlapping sites of nasopharynx,Y,,,,,,,11,,,2017,Commercial
304,C119,"Malignant neoplasm of nasopharynx, unspecified",Y,,,,,,,11,,,2017,Commercial
305,C12,Malignant neoplasm of pyriform sinus,Y,,,,,,,11,,,2017,Commercial
306,C130,Malignant neoplasm of postcricoid region,Y,,,,,,,11,,,2017,Commercial
307,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Y,,,,,,,11,,,2017,Commercial
308,C132,Malignant neoplasm of posterior wall of hypopharynx,Y,,,,,,,11,,,2017,Commercial
309,C138,Malignant neoplasm of overlapping sites of hypopharynx,Y,,,,,,,11,,,2017,Commercial
310,C139,"Malignant neoplasm of hypopharynx, unspecified",Y,,,,,,,11,,,2017,Commercial
311,C140,"Malignant neoplasm of pharynx, unspecified",Y,,,,,,,11,,,2017,Commercial
312,C142,Malignant neoplasm of Waldeyer's ring,Y,,,,,,,11,,,2017,Commercial
313,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Y,,,,,,,11,,,2017,Commercial
314,C153,Malignant neoplasm of upper third of esophagus,Y,,,,,,,9,,,2017,Commercial
315,C154,Malignant neoplasm of middle third of esophagus,Y,,,,,,,9,,,2017,Commercial
316,C155,Malignant neoplasm of lower third of esophagus,Y,,,,,,,9,,,2017,Commercial
317,C158,Malignant neoplasm of overlapping sites of esophagus,Y,,,,,,,9,,,2017,Commercial
318,C159,"Malignant neoplasm of esophagus, unspecified",Y,,,,,,,9,,,2017,Commercial
319,C160,Malignant neoplasm of cardia,Y,,,,,,,9,,,2017,Commercial
320,C161,Malignant neoplasm of fundus of stomach,Y,,,,,,,9,,,2017,Commercial
321,C162,Malignant neoplasm of body of stomach,Y,,,,,,,9,,,2017,Commercial
322,C163,Malignant neoplasm of pyloric antrum,Y,,,,,,,9,,,2017,Commercial
323,C164,Malignant neoplasm of pylorus,Y,,,,,,,9,,,2017,Commercial
324,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",Y,,,,,,,9,,,2017,Commercial
325,C166,"Malignant neoplasm of greater curvature of stomach, unspecified",Y,,,,,,,9,,,2017,Commercial
326,C168,Malignant neoplasm of overlapping sites of stomach,Y,,,,,,,9,,,2017,Commercial
327,C169,"Malignant neoplasm of stomach, unspecified",Y,,,,,,,9,,,2017,Commercial
328,C170,Malignant neoplasm of duodenum,Y,,,,,,,9,,,2017,Commercial
