Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2019
(10/1/18 - 9/30/19)","FY2019 MCE
Age Condition
[use AGE_AT
_DIAGNOSIS]","FY2019
MCE Sex
Condition","CY2019 (FY19/FY20)
MCE Age
Condition
[use AGE_AT
_DIAGNOSIS]","CY2019
(FY19/FY20)
MCE Sex
Condition","CC Age Split
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote
60,A4152,Sepsis due to Pseudomonas,Y,,,,,,,2,,
61,A4153,Sepsis due to Serratia,Y,,,,,,,2,,
62,A4159,Other Gram-negative sepsis,Y,,,,,,,2,,
63,A4181,Sepsis due to Enterococcus,Y,,,,,,,2,,
64,A4189,Other specified sepsis,Y,,,,,,,2,,
65,A419,"Sepsis, unspecified organism",Y,,,,,,,2,,
66,A427,Actinomycotic sepsis,Y,,,,,,,2,,
67,A4281,Actinomycotic meningitis,Y,,,,,,,3,,
68,A4282,Actinomycotic encephalitis,Y,,,,,,,3,,
69,A480,Gas gangrene,Y,,,,,,,153,,
70,A481,Legionnaires' disease,Y,,,,,,,163,,
71,A483,Toxic shock syndrome,Y,,,,,,,2,,
72,A5004,Early congenital syphilitic pneumonia,Y,,,,,,,163,,
73,A5040,"Late congenital neurosyphilis, unspecified",Y,,,,,,,3,,
74,A5041,Late congenital syphilitic meningitis,Y,,,,,,,3,,
75,A5042,Late congenital syphilitic encephalitis,Y,,,,,,,3,,
76,A5043,Late congenital syphilitic polyneuropathy,Y,,,,,,,3,,
77,A5044,Late congenital syphilitic optic nerve atrophy,Y,,,,,,,3,,
78,A5045,Juvenile general paresis,Y,,,,,,,3,,
79,A5049,Other late congenital neurosyphilis,Y,,,,,,,3,,
80,A5054,Late congenital cardiovascular syphilis,Y,,,,,,,135,,
81,A5055,Late congenital syphilitic arthropathy,Y,,,,,,,55,,
82,A5141,Secondary syphilitic meningitis,Y,,,,,,,3,,
83,A5200,"Cardiovascular syphilis, unspecified",Y,,,,,,,135,,
84,A5201,Syphilitic aneurysm of aorta,Y,,,,,,,135,,
85,A5202,Syphilitic aortitis,Y,,,,,,,135,,
86,A5203,Syphilitic endocarditis,Y,,,,,,,135,,
87,A5205,Other cerebrovascular syphilis,Y,,,,,,,149,,
88,A5206,Other syphilitic heart involvement,Y,,,,,,,135,,
89,A5209,Other cardiovascular syphilis,Y,,,,,,,135,,
90,A5210,"Symptomatic neurosyphilis, unspecified",Y,,,,,,,3,,
91,A5211,Tabes dorsalis,Y,,,,,,,3,,
92,A5212,Other cerebrospinal syphilis,Y,,,,,,,3,,
93,A5213,Late syphilitic meningitis,Y,,,,,,,3,,
94,A5214,Late syphilitic encephalitis,Y,,,,,,,3,,
95,A5215,Late syphilitic neuropathy,Y,,,,,,,3,,
96,A5216,Charcot's arthropathy (tabetic),Y,,,,,,,3,,
97,A5217,General paresis,Y,,,,,,,3,,
98,A5219,Other symptomatic neurosyphilis,Y,,,,,,,3,,
99,A522,Asymptomatic neurosyphilis,Y,,,,,,,3,,
100,A523,"Neurosyphilis, unspecified",Y,,,,,,,3,,
101,A5440,"Gonococcal infection of musculoskeletal system, unspecified",Y,,,,,,,55,,
102,A5441,Gonococcal spondylopathy,Y,,,,,,,55,,
103,A5442,Gonococcal arthritis,Y,,,,,,,55,,
104,A5443,Gonococcal osteomyelitis,Y,,,,,,,55,,
105,A5449,Gonococcal infection of other musculoskeletal tissue,Y,,,,,,,55,,
106,A5481,Gonococcal meningitis,Y,,,,,,,3,,
107,A5482,Gonococcal brain abscess,Y,,,,,,,3,,
108,A5483,Gonococcal heart infection,Y,,,,,,,135,,
109,A5485,Gonococcal peritonitis,Y,,,,,,,42,,
110,A5486,Gonococcal sepsis,Y,,,,,,,2,,
111,A666,Bone and joint lesions of yaws,Y,,,,,,,55,,
112,A6921,Meningitis due to Lyme disease,Y,,,,,,,3,,
113,A6923,Arthritis due to Lyme disease,Y,,,,,,,55,,
114,A800,"Acute paralytic poliomyelitis, vaccine-associated",Y,,,,,,,3,,
115,A801,"Acute paralytic poliomyelitis, wild virus, imported",Y,,,,,,,3,,
116,A802,"Acute paralytic poliomyelitis, wild virus, indigenous",Y,,,,,,,3,,
117,A8030,"Acute paralytic poliomyelitis, unspecified",Y,,,,,,,3,,
118,A8039,Other acute paralytic poliomyelitis,Y,,,,,,,3,,
119,A804,Acute nonparalytic poliomyelitis,Y,,,,,,,3,,
120,A809,"Acute poliomyelitis, unspecified",Y,,,,,,,3,,
121,A820,Sylvatic rabies,Y,,,,,,,3,,
122,A821,Urban rabies,Y,,,,,,,3,,
123,A829,"Rabies, unspecified",Y,,,,,,,3,,
124,A830,Japanese encephalitis,Y,,,,,,,3,,
125,A831,Western equine encephalitis,Y,,,,,,,3,,
126,A832,Eastern equine encephalitis,Y,,,,,,,3,,
127,A833,St Louis encephalitis,Y,,,,,,,3,,
128,A834,Australian encephalitis,Y,,,,,,,3,,
129,A835,California encephalitis,Y,,,,,,,3,,
130,A836,Rocio virus disease,Y,,,,,,,3,,
131,A838,Other mosquito-borne viral encephalitis,Y,,,,,,,3,,
132,A839,"Mosquito-borne viral encephalitis, unspecified",Y,,,,,,,3,,
133,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Y,,,,,,,3,,
134,A841,Central European tick-borne encephalitis,Y,,,,,,,3,,
135,A848,Other tick-borne viral encephalitis,Y,,,,,,,3,,
136,A849,"Tick-borne viral encephalitis, unspecified",Y,,,,,,,3,,
137,A850,Enteroviral encephalitis,Y,,,,,,,3,,
138,A851,Adenoviral encephalitis,Y,,,,,,,3,,
139,A852,"Arthropod-borne viral encephalitis, unspecified",Y,,,,,,,3,,
140,A858,Other specified viral encephalitis,Y,,,,,,,3,,
141,A86,Unspecified viral encephalitis,Y,,,,,,,3,,
142,A870,Enteroviral meningitis,Y,,,,,,,4,,
143,A871,Adenoviral meningitis,Y,,,,,,,4,,
144,A872,Lymphocytic choriomeningitis,Y,,,,,,,4,,
145,A878,Other viral meningitis,Y,,,,,,,4,,
146,A879,"Viral meningitis, unspecified",Y,,,,,,,4,,
147,A880,Enteroviral exanthematous fever [Boston exanthem],Y,,,,,,,4,,
148,A888,Other specified viral infections of central nervous system,Y,,,,,,,3,,
149,A89,Unspecified viral infection of central nervous system,Y,,,,,,,3,,
150,A922,Venezuelan equine fever,Y,,,,,,,3,,
151,A9230,"West Nile virus infection, unspecified",Y,,,,,,,3,,
152,A9231,West Nile virus infection with encephalitis,Y,,,,,,,3,,
153,A9232,West Nile virus infection with other neurologic manifestation,Y,,,,,,,3,,
154,A9239,West Nile virus infection with other complications,Y,,,,,,,3,,
155,B003,Herpesviral meningitis,Y,,,,,,,4,,
156,B004,Herpesviral encephalitis,Y,,,,,,,3,,
157,B007,Disseminated herpesviral disease,Y,,,,,,,2,,
158,B0082,Herpes simplex myelitis,Y,,,,,,,110,,
159,B010,Varicella meningitis,Y,,,,,,,4,,
160,B0111,Varicella encephalitis and encephalomyelitis,Y,,,,,,,3,,
161,B0112,Varicella myelitis,Y,,,,,,,110,,
162,B020,Zoster encephalitis,Y,,,,,,,3,,
163,B021,Zoster meningitis,Y,,,,,,,4,,
164,B0224,Postherpetic myelitis,Y,,,,,,,110,,
165,B050,Measles complicated by encephalitis,Y,,,,,,,3,,
166,B051,Measles complicated by meningitis,Y,,,,,,,4,,
167,B0601,Rubella encephalitis,Y,,,,,,,3,,
168,B0602,Rubella meningitis,Y,,,,,,,4,,
169,B0682,Rubella arthritis,Y,,,,,,,55,,
170,B1001,Human herpesvirus 6 encephalitis,Y,,,,,,,3,,
171,B1009,Other human herpesvirus encephalitis,Y,,,,,,,3,,
172,B150,Hepatitis A with hepatic coma,Y,,,,,,,38,,
173,B160,Acute hepatitis B with delta-agent with hepatic coma,Y,,,,,,,38,,
174,B162,Acute hepatitis B without delta-agent with hepatic coma,Y,,,,,,,38,,
175,B1711,Acute hepatitis C with hepatic coma,Y,,,,,,,38,,
176,B180,Chronic viral hepatitis B with delta-agent,Y,,,,,,,37.2,,
177,B181,Chronic viral hepatitis B without delta-agent,Y,,,,,,,37.2,,
178,B182,Chronic viral hepatitis C,Y,,,,,,,37.1,,
179,B188,Other chronic viral hepatitis,Y,,,,,,,37.2,,
180,B189,"Chronic viral hepatitis, unspecified",Y,,,,,,,37.2,,
181,B190,Unspecified viral hepatitis with hepatic coma,Y,,,,,,,38,,
182,B1911,Unspecified viral hepatitis B with hepatic coma,Y,,,,,,,38,,
183,B1921,Unspecified viral hepatitis C with hepatic coma,Y,,,,,,,38,,
184,B20,Human immunodeficiency virus [HIV] disease,Y,,,,,,,1,,
185,B250,Cytomegaloviral pneumonitis,Y,,,,,,,6,,
186,B251,Cytomegaloviral hepatitis,Y,,,,,,,6,,
187,B252,Cytomegaloviral pancreatitis,Y,,,,,,,6,47,
188,B258,Other cytomegaloviral diseases,Y,,,,,,,6,,
189,B259,"Cytomegaloviral disease, unspecified",Y,,,,,,,6,,
190,B261,Mumps meningitis,Y,,,,,,,4,,
191,B262,Mumps encephalitis,Y,,,,,,,3,,
192,B263,Mumps pancreatitis,Y,,,,,,,47,,
193,B2682,Mumps myocarditis,Y,,,,,,,135,,
194,B2685,Mumps arthritis,Y,,,,,,,55,,
195,B2702,Gammaherpesviral mononucleosis with meningitis,Y,,,,,,,4,,
196,B2712,Cytomegaloviral mononucleosis with meningitis,Y,,,,,,,4,,
197,B2782,Other infectious mononucleosis with meningitis,Y,,,,,,,4,,
198,B2792,"Infectious mononucleosis, unspecified with meningitis",Y,,,,,,,4,,
199,B3320,"Viral carditis, unspecified",Y,,,,,,,135,,
200,B3321,Viral endocarditis,Y,,,,,,,135,,
201,B3322,Viral myocarditis,Y,,,,,,,135,,
202,B3323,Viral pericarditis,Y,,,,,,,135,,
203,B3324,Viral cardiomyopathy,Y,,,,,,,130,,
204,B371,Pulmonary candidiasis,Y,,,,,,,6,,
205,B375,Candidal meningitis,Y,,,,,,,3,,
206,B376,Candidal endocarditis,Y,,,,,,,135,,
207,B377,Candidal sepsis,Y,,,,,,,2,6,
208,B3781,Candidal esophagitis,Y,,,,,,,6,,
209,B380,Acute pulmonary coccidioidomycosis,Y,,,,,,,163,,
210,B381,Chronic pulmonary coccidioidomycosis,Y,,,,,,,163,,
211,B382,"Pulmonary coccidioidomycosis, unspecified",Y,,,,,,,163,,
212,B384,Coccidioidomycosis meningitis,Y,,,,,,,3,,
213,B390,Acute pulmonary histoplasmosis capsulati,Y,,,,,,,163,,
214,B391,Chronic pulmonary histoplasmosis capsulati,Y,,,,,,,163,,
215,B392,"Pulmonary histoplasmosis capsulati, unspecified",Y,,,,,,,163,,
216,B400,Acute pulmonary blastomycosis,Y,,,,,,,163,,
217,B401,Chronic pulmonary blastomycosis,Y,,,,,,,163,,
218,B402,"Pulmonary blastomycosis, unspecified",Y,,,,,,,163,,
219,B4081,Blastomycotic meningoencephalitis,Y,,,,,,,3,,
220,B410,Pulmonary paracoccidioidomycosis,Y,,,,,,,163,,
221,B4281,Cerebral sporotrichosis,Y,,,,,,,3,,
222,B4282,Sporotrichosis arthritis,Y,,,,,,,55,,
223,B431,Pheomycotic brain abscess,Y,,,,,,,3,,
224,B440,Invasive pulmonary aspergillosis,Y,,,,,,,6,,
225,B441,Other pulmonary aspergillosis,Y,,,,,,,6,,
226,B442,Tonsillar aspergillosis,Y,,,,,,,6,,
227,B447,Disseminated aspergillosis,Y,,,,,,,6,,
228,B4481,Allergic bronchopulmonary aspergillosis,Y,,,,,,,162,,
229,B4489,Other forms of aspergillosis,Y,,,,,,,6,,
230,B449,"Aspergillosis, unspecified",Y,,,,,,,6,,
231,B450,Pulmonary cryptococcosis,Y,,,,,,,6,,
232,B451,Cerebral cryptococcosis,Y,,,,,,,6,,
233,B452,Cutaneous cryptococcosis,Y,,,,,,,6,,
234,B453,Osseous cryptococcosis,Y,,,,,,,6,,
235,B457,Disseminated cryptococcosis,Y,,,,,,,6,,
236,B458,Other forms of cryptococcosis,Y,,,,,,,6,,
237,B459,"Cryptococcosis, unspecified",Y,,,,,,,6,,
238,B460,Pulmonary mucormycosis,Y,,,,,,,6,,
239,B461,Rhinocerebral mucormycosis,Y,,,,,,,6,,
240,B462,Gastrointestinal mucormycosis,Y,,,,,,,6,,
241,B463,Cutaneous mucormycosis,Y,,,,,,,6,,
242,B464,Disseminated mucormycosis,Y,,,,,,,6,,
243,B465,"Mucormycosis, unspecified",Y,,,,,,,6,,
244,B468,Other zygomycoses,Y,,,,,,,6,,
245,B469,"Zygomycosis, unspecified",Y,,,,,,,6,,
246,B484,Penicillosis,Y,,,,,,,6,,
247,B488,Other specified mycoses,Y,,,,,,,6,,
248,B5741,Meningitis in Chagas' disease,Y,,,,,,,3,,
249,B5742,Meningoencephalitis in Chagas' disease,Y,,,,,,,3,,
250,B582,Toxoplasma meningoencephalitis,Y,,,,,,,6,,
251,B583,Pulmonary toxoplasmosis,Y,,,,,,,6,,
252,B5881,Toxoplasma myocarditis,Y,,,,,,,135,,
253,B59,Pneumocystosis,Y,,,,,,,6,,
254,B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),Y,,,,,,,3,,
255,B664,Paragonimiasis,Y,,,,,,,163,,
256,B671,Echinococcus granulosus infection of lung,Y,,,,,,,163,,
257,B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",Y,,,,,,,1,,
258,C01,Malignant neoplasm of base of tongue,Y,,,,,,,11,,
259,C020,Malignant neoplasm of dorsal surface of tongue,Y,,,,,,,11,,
260,C021,Malignant neoplasm of border of tongue,Y,,,,,,,11,,
261,C022,Malignant neoplasm of ventral surface of tongue,Y,,,,,,,11,,
262,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Y,,,,,,,11,,
263,C024,Malignant neoplasm of lingual tonsil,Y,,,,,,,11,,
264,C028,Malignant neoplasm of overlapping sites of tongue,Y,,,,,,,11,,
265,C029,"Malignant neoplasm of tongue, unspecified",Y,,,,,,,11,,
266,C030,Malignant neoplasm of upper gum,Y,,,,,,,11,,
267,C031,Malignant neoplasm of lower gum,Y,,,,,,,11,,
268,C039,"Malignant neoplasm of gum, unspecified",Y,,,,,,,11,,
269,C040,Malignant neoplasm of anterior floor of mouth,Y,,,,,,,11,,
270,C041,Malignant neoplasm of lateral floor of mouth,Y,,,,,,,11,,
271,C048,Malignant neoplasm of overlapping sites of floor of mouth,Y,,,,,,,11,,
272,C049,"Malignant neoplasm of floor of mouth, unspecified",Y,,,,,,,11,,
273,C050,Malignant neoplasm of hard palate,Y,,,,,,,11,,
274,C051,Malignant neoplasm of soft palate,Y,,,,,,,11,,
275,C052,Malignant neoplasm of uvula,Y,,,,,,,11,,
276,C058,Malignant neoplasm of overlapping sites of palate,Y,,,,,,,11,,
277,C059,"Malignant neoplasm of palate, unspecified",Y,,,,,,,11,,
278,C060,Malignant neoplasm of cheek mucosa,Y,,,,,,,11,,
279,C061,Malignant neoplasm of vestibule of mouth,Y,,,,,,,11,,
280,C062,Malignant neoplasm of retromolar area,Y,,,,,,,11,,
281,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Y,,,,,,,11,,
282,C0689,Malignant neoplasm of overlapping sites of other parts of mouth,Y,,,,,,,11,,
283,C069,"Malignant neoplasm of mouth, unspecified",Y,,,,,,,11,,
284,C07,Malignant neoplasm of parotid gland,Y,,,,,,,11,,
285,C080,Malignant neoplasm of submandibular gland,Y,,,,,,,11,,
286,C081,Malignant neoplasm of sublingual gland,Y,,,,,,,11,,
287,C089,"Malignant neoplasm of major salivary gland, unspecified",Y,,,,,,,11,,
288,C090,Malignant neoplasm of tonsillar fossa,Y,,,,,,,11,,
289,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Y,,,,,,,11,,
290,C098,Malignant neoplasm of overlapping sites of tonsil,Y,,,,,,,11,,
291,C099,"Malignant neoplasm of tonsil, unspecified",Y,,,,,,,11,,
292,C100,Malignant neoplasm of vallecula,Y,,,,,,,11,,
293,C101,Malignant neoplasm of anterior surface of epiglottis,Y,,,,,,,11,,
294,C102,Malignant neoplasm of lateral wall of oropharynx,Y,,,,,,,11,,
295,C103,Malignant neoplasm of posterior wall of oropharynx,Y,,,,,,,11,,
296,C104,Malignant neoplasm of branchial cleft,Y,,,,,,,11,,
297,C108,Malignant neoplasm of overlapping sites of oropharynx,Y,,,,,,,11,,
298,C109,"Malignant neoplasm of oropharynx, unspecified",Y,,,,,,,11,,
299,C110,Malignant neoplasm of superior wall of nasopharynx,Y,,,,,,,11,,
300,C111,Malignant neoplasm of posterior wall of nasopharynx,Y,,,,,,,11,,
301,C112,Malignant neoplasm of lateral wall of nasopharynx,Y,,,,,,,11,,
302,C113,Malignant neoplasm of anterior wall of nasopharynx,Y,,,,,,,11,,
303,C118,Malignant neoplasm of overlapping sites of nasopharynx,Y,,,,,,,11,,
304,C119,"Malignant neoplasm of nasopharynx, unspecified",Y,,,,,,,11,,
305,C12,Malignant neoplasm of pyriform sinus,Y,,,,,,,11,,
306,C130,Malignant neoplasm of postcricoid region,Y,,,,,,,11,,
307,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Y,,,,,,,11,,
308,C132,Malignant neoplasm of posterior wall of hypopharynx,Y,,,,,,,11,,
309,C138,Malignant neoplasm of overlapping sites of hypopharynx,Y,,,,,,,11,,
310,C139,"Malignant neoplasm of hypopharynx, unspecified",Y,,,,,,,11,,
311,C140,"Malignant neoplasm of pharynx, unspecified",Y,,,,,,,11,,
312,C142,Malignant neoplasm of Waldeyer's ring,Y,,,,,,,11,,
313,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Y,,,,,,,11,,
314,C153,Malignant neoplasm of upper third of esophagus,Y,,,,,,,9,,
315,C154,Malignant neoplasm of middle third of esophagus,Y,,,,,,,9,,
316,C155,Malignant neoplasm of lower third of esophagus,Y,,,,,,,9,,
317,C158,Malignant neoplasm of overlapping sites of esophagus,Y,,,,,,,9,,
318,C159,"Malignant neoplasm of esophagus, unspecified",Y,,,,,,,9,,
319,C160,Malignant neoplasm of cardia,Y,,,,,,,9,,
320,C161,Malignant neoplasm of fundus of stomach,Y,,,,,,,9,,
321,C162,Malignant neoplasm of body of stomach,Y,,,,,,,9,,
322,C163,Malignant neoplasm of pyloric antrum,Y,,,,,,,9,,
323,C164,Malignant neoplasm of pylorus,Y,,,,,,,9,,
324,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",Y,,,,,,,9,,
325,C166,"Malignant neoplasm of greater curvature of stomach, unspecified",Y,,,,,,,9,,
326,C168,Malignant neoplasm of overlapping sites of stomach,Y,,,,,,,9,,
327,C169,"Malignant neoplasm of stomach, unspecified",Y,,,,,,,9,,
328,C170,Malignant neoplasm of duodenum,Y,,,,,,,9,,
329,C171,Malignant neoplasm of jejunum,Y,,,,,,,9,,
330,C172,Malignant neoplasm of ileum,Y,,,,,,,9,,
331,C173,"Meckel's diverticulum, malignant",Y,,,,,,,9,,
332,C178,Malignant neoplasm of overlapping sites of small intestine,Y,,,,,,,9,,
333,C179,"Malignant neoplasm of small intestine, unspecified",Y,,,,,,,9,,
334,C180,Malignant neoplasm of cecum,Y,,,,,,,11,,
335,C181,Malignant neoplasm of appendix,Y,,,,,,,11,,
336,C182,Malignant neoplasm of ascending colon,Y,,,,,,,11,,
337,C183,Malignant neoplasm of hepatic flexure,Y,,,,,,,11,,
338,C184,Malignant neoplasm of transverse colon,Y,,,,,,,11,,
339,C185,Malignant neoplasm of splenic flexure,Y,,,,,,,11,,
340,C186,Malignant neoplasm of descending colon,Y,,,,,,,11,,
341,C187,Malignant neoplasm of sigmoid colon,Y,,,,,,,11,,
342,C188,Malignant neoplasm of overlapping sites of colon,Y,,,,,,,11,,
343,C189,"Malignant neoplasm of colon, unspecified",Y,,,,,,,11,,
344,C19,Malignant neoplasm of rectosigmoid junction,Y,,,,,,,11,,
345,C20,Malignant neoplasm of rectum,Y,,,,,,,11,,
346,C210,"Malignant neoplasm of anus, unspecified",Y,,,,,,,11,,
347,C211,Malignant neoplasm of anal canal,Y,,,,,,,11,,
348,C212,Malignant neoplasm of cloacogenic zone,Y,,,,,,,11,,
349,C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Y,,,,,,,11,,
350,C220,Liver cell carcinoma,Y,,,,,,,9,,
351,C221,Intrahepatic bile duct carcinoma,Y,,,,,,,9,,
352,C222,Hepatoblastoma,Y,,,,,,,9,,
353,C223,Angiosarcoma of liver,Y,,,,,,,9,,
354,C224,Other sarcomas of liver,Y,,,,,,,9,,
355,C227,Other specified carcinomas of liver,Y,,,,,,,9,,
356,C228,"Malignant neoplasm of liver, primary, unspecified as to type",Y,,,,,,,9,,
357,C229,"Malignant neoplasm of liver, not specified as primary or secondary",Y,,,,,,,9,,
358,C23,Malignant neoplasm of gallbladder,Y,,,,,,,9,,
359,C240,Malignant neoplasm of extrahepatic bile duct,Y,,,,,,,9,,
360,C241,Malignant neoplasm of ampulla of Vater,Y,,,,,,,9,,
361,C248,Malignant neoplasm of overlapping sites of biliary tract,Y,,,,,,,9,,
362,C249,"Malignant neoplasm of biliary tract, unspecified",Y,,,,,,,9,,
363,C250,Malignant neoplasm of head of pancreas,Y,,,,,,,9,,
364,C251,Malignant neoplasm of body of pancreas,Y,,,,,,,9,,
365,C252,Malignant neoplasm of tail of pancreas,Y,,,,,,,9,,
366,C253,Malignant neoplasm of pancreatic duct,Y,,,,,,,9,,
367,C254,Malignant neoplasm of endocrine pancreas,Y,,,,,,,9,,
368,C257,Malignant neoplasm of other parts of pancreas,Y,,,,,,,9,,
369,C258,Malignant neoplasm of overlapping sites of pancreas,Y,,,,,,,9,,
370,C259,"Malignant neoplasm of pancreas, unspecified",Y,,,,,,,9,,
371,C260,"Malignant neoplasm of intestinal tract, part unspecified",Y,,,,,,,11,,
372,C261,Malignant neoplasm of spleen,Y,,,,,,,11,,
373,C269,Malignant neoplasm of ill-defined sites within the digestive system,Y,,,,,,,11,,
374,C300,Malignant neoplasm of nasal cavity,Y,,,,,,,11,,
375,C301,Malignant neoplasm of middle ear,Y,,,,,,,11,,
376,C310,Malignant neoplasm of maxillary sinus,Y,,,,,,,11,,
377,C311,Malignant neoplasm of ethmoidal sinus,Y,,,,,,,11,,
378,C312,Malignant neoplasm of frontal sinus,Y,,,,,,,11,,
379,C313,Malignant neoplasm of sphenoid sinus,Y,,,,,,,11,,
380,C318,Malignant neoplasm of overlapping sites of accessory sinuses,Y,,,,,,,11,,
381,C319,"Malignant neoplasm of accessory sinus, unspecified",Y,,,,,,,11,,
382,C320,Malignant neoplasm of glottis,Y,,,,,,,11,,
383,C321,Malignant neoplasm of supraglottis,Y,,,,,,,11,,
384,C322,Malignant neoplasm of subglottis,Y,,,,,,,11,,
385,C323,Malignant neoplasm of laryngeal cartilage,Y,,,,,,,11,,
386,C328,Malignant neoplasm of overlapping sites of larynx,Y,,,,,,,11,,
387,C329,"Malignant neoplasm of larynx, unspecified",Y,,,,,,,11,,
388,C33,Malignant neoplasm of trachea,Y,,,,,,,9,,
389,C3400,Malignant neoplasm of unspecified main bronchus,Y,,,,,,,9,,
390,C3401,Malignant neoplasm of right main bronchus,Y,,,,,,,9,,
391,C3402,Malignant neoplasm of left main bronchus,Y,,,,,,,9,,
392,C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",Y,,,,,,,9,,
393,C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",Y,,,,,,,9,,
